vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Lhfp,0.7935358,0.0001423484781328752,Fgd4,1.6031924,8.713618865745457e-10,Nedd9,2.6976933,1.512600938543613e-08,Ndufab1,3.1199422,5.524630482217485e-23
Pnisr,0.34034738,0.00020051036485915812,Synpo2,1.4156464,8.713618865745457e-10,Cp,2.4216661,1.8942790333362372e-08,Nme2,3.9130862,1.3965786466909815e-22
Scn5a,0.5539805,0.0002148452085919486,Gm17428,1.5067086,1.2988556306451355e-09,Itgb1,2.7074673,2.0443559984113447e-08,Rplp1,5.24468,3.2829328572174864e-22
Gab1,0.42426497,0.00022700765205765314,Slc4a3,1.6159421,1.2988556306451355e-09,Large1,1.0411708,2.156703439440451e-08,Ndufa11,4.185301,4.215729962159616e-22
Myh7,0.2800703,0.0002460166518963453,Sorbs1,0.68068576,1.3146988560151218e-09,Kremen1,2.3790374,2.2224569915198735e-08,Mt1,3.3323896,5.02732166586485e-22
Nr1d2,0.5318337,0.00025480156007639886,Coro6,1.4099408,1.5799431007616817e-09,Plcb4,2.1578205,2.485746829429486e-08,Mt-nd4l,6.045661,8.547483105715814e-22
Dnmt3a,0.4685065,0.00025480156007639886,Dst,1.1290498,1.5799431007616817e-09,Slc35f5,1.9575329,9.491820412230005e-08,Rps25,5.4221973,1.3814846200066333e-21
Myh6,-0.13739678,0.0002658371144716046,Gm49708,1.5604552,1.5920343685816667e-09,Sorbs1,0.4632066,1.4243373285575728e-07,Tnnc1,2.213126,1.899738546971182e-21
Map4k4,0.7243201,0.00026978018243824253,Larp1b,1.734246,1.8728549648363794e-09,Map4,1.2562134,1.6413395131773197e-07,Uqcrfs1,3.757161,3.985751861103911e-21
Tgfbr3,0.7024351,0.0002797319979744488,Pik3r1,1.5647516,2.3005834034288235e-09,Fam13a,2.1193779,3.324471406156263e-07,Atp5d,3.0946577,6.083881526881638e-21
Meis2,0.48172408,0.0002823005075963512,Fhod3,0.86507064,2.5099056994433992e-09,Abi1,2.377464,4.1163555473130735e-07,Ndufa3,3.9985828,8.254129337184889e-21
Erc1,0.38177085,0.00032916511867646744,Luc7l2,1.0679591,3.1477062106733614e-09,Azin1,2.5570974,4.127738374325543e-07,Rpl36,4.471974,9.170180173849077e-21
Slc27a1,0.6118213,0.00033845434310674936,Rere,1.3687342,3.2348669743178935e-09,Qk,0.7575011,4.229127646511702e-07,Eif1,4.2043195,1.6149199638051407e-20
Mylk3,0.5023885,0.00034540198239285387,Fblim1,1.4889963,3.6417876284772507e-09,Tnnc1,2.417631,6.10437556145961e-07,Mdh2,3.3729558,2.160415909605277e-20
Ppip5k2,0.7083816,0.0004328068915749696,Vldlr,1.5342846,4.1899110718431016e-09,Fgfr2,2.027222,6.682004709029658e-07,Atp5l,2.7988183,3.837938039805678e-20
Setbp1,0.48842487,0.0004521802438645374,Fstl4,1.786446,4.560140871287474e-09,Nuak1,2.9468586,6.827527713672114e-07,Rpl24,4.9950695,6.386609480516182e-20
Adgrl2,0.8169151,0.0004526428046018273,Cped1,1.5626299,5.307831271359407e-09,Ppp1r12a,1.6448785,7.291965517108912e-07,Rpl23a,5.4352245,1.7439285386570022e-19
Snrnp70,0.4277616,0.0004971291826191272,Art1,1.541888,6.650182506052669e-09,Ube2d3,2.0930755,9.431353075810094e-07,Pgam2,3.7161288,3.1579589269066454e-19
Fhl2,0.11294243,0.0006094742171905593,Esrrb,1.5456626,6.791192314183566e-09,Uck2,2.554513,1.0739035445204053e-06,Uqcrc1,2.9478567,3.5482703785675224e-19
Ptprd,0.5590196,0.0006368599648471557,Snta1,1.5809063,6.896626025658379e-09,Myo18b,1.483283,1.1200126872936532e-06,Rplp0,5.1362166,3.8019692431109087e-19
Dbp,1.1028472,0.0006463562869807246,Slc27a1,1.5344665,7.019898739469445e-09,Rock2,1.8608553,1.2322552349142836e-06,Ndufv3,3.280694,7.371170881203982e-19
Pakap,0.83211523,0.0006885177386006095,Slc20a2,1.5640507,7.280899450746001e-09,Rcan2,0.73084015,1.287416812541537e-06,Acadvl,3.1087651,8.475925766483733e-19
Ttn,0.06007506,0.0007402154723125006,Smg1,1.5785966,1.1141326163066318e-08,Srl,1.807552,1.3043134842774615e-06,Ndufb5,2.8466628,1.1737705607354351e-18
Syde2,0.7888942,0.0007435963521404982,Kbtbd12,1.476725,1.1985934188680271e-08,Usp28,1.7151226,1.3298236402823529e-06,Serf2,3.3324893,1.3264658298172701e-18
Ank3,0.37926084,0.0010464564215257493,Sesn1,1.4651247,1.2502248040909441e-08,Mast4,2.280861,1.3806637518044855e-06,Hspa8,3.61364,1.36855950415672e-18
Akap13,0.30935872,0.0010854129325406298,Pcmtd1,1.5421928,1.9032848641771212e-08,Insr,1.2018014,1.5020009497774203e-06,Rps15,4.8823166,1.792379560821221e-18
