vCM1_n,vCM1_l,vCM1_p,vCM2_n,vCM2_l,vCM2_p,vCM3_n,vCM3_l,vCM3_p,vCM4_n,vCM4_l,vCM4_p
Msi2,0.73704314,1.1057677324375287e-41,Tfdp2,1.7793049,1.0269300914974668e-40,Ube2d3,1.8297939,1.5035581129748093e-38,Rpl38,4.5042,5.151866692359597e-170
Nfyc,1.1390855,1.9321999765509836e-41,Fnip1,1.6963377,1.8957326095332156e-40,Zfp568,2.1176906,3.1505961937179617e-38,Uqcrb,4.357062,5.9767471948233835e-170
Asb14,1.3559194,7.593832329640786e-41,Phyhd1,1.8110772,3.1213802623356055e-40,Pdlim3,2.4849982,3.4146618086010325e-38,Rpl37a,4.632153,1.4144646664485294e-168
Lrrfip2,0.988906,8.079760069980024e-41,Sesn1,1.7410122,3.1314024847895102e-40,Arid5b,2.1790771,5.983261443835279e-38,Rpl36,4.335129,1.059290191216588e-166
Ttn,0.17950478,2.34930066549324e-40,Hmcn1,1.9411635,4.470528627869551e-40,Magi1,1.8502537,5.984951292183535e-38,Rpl24,4.4993863,2.744571404481028e-166
Tecrl,1.1486994,3.879293708892575e-40,Tango2,1.7413969,5.851898899604271e-40,Tnfrsf12a,2.910973,4.109835456711665e-37,Rps3a1,4.34359,6.067094316086665e-164
Trabd2b,1.0356367,2.603353358699956e-39,Ogdh,1.2983729,1.3473346989558344e-39,Pam,1.7434651,3.6070936817156605e-36,Atp5md,3.9340518,1.0213821871439762e-163
Corin,0.93796605,9.709172901597137e-39,Appl2,1.7690471,1.8917137538562426e-39,Myh9,2.771114,6.753625303500362e-36,Ndufs6,4.2389503,4.1365557734493135e-163
Kcng2,1.0116254,1.1499710308881821e-38,Lama5,1.8790902,1.9518527002476807e-39,Ppp1r12a,1.5667161,1.0752222876884953e-35,Rpl13a,4.4342566,4.624613458873595e-162
D830005e20rik,1.1901085,1.3027906619564484e-38,Neat1,1.0854737,1.0372316568441163e-38,Kalrn,2.0949087,2.60156270616871e-35,Cox7b,2.7571583,1.6444061067621743e-160
Ppargc1b,1.1048434,2.8623482966481986e-38,Myzap,1.4566178,1.4729494113443668e-38,Cfl2,1.9137739,3.033021710725299e-35,Rplp0,4.4742193,5.601713199110956e-160
Mylk3,0.9558286,2.931946903054435e-38,Rora,1.8445277,2.139324339784957e-38,Nt5c2,1.9296892,3.41318328712939e-35,Ndufa1,4.4557614,2.4207568731245293e-158
Smtn,1.2073727,3.8257054942034675e-38,Stk39,1.6826917,2.629019849976016e-38,Sorbs2os,2.1763291,4.787861629102267e-35,Rps17,4.5469007,4.796658230854031e-158
Celf2,0.7418958,3.8877840280389216e-38,Cdc37l1,1.604186,3.476108841118314e-38,Slc6a6,2.2070112,5.643329193594396e-35,Hexb,3.5383592,7.067592561398022e-158
Garem1,1.0923287,4.692759785012895e-37,Coro6,1.6630001,4.4854514417157557e-38,Fermt2,1.687846,6.509729522817859e-35,Hspa8,3.5519524,1.4031967500149425e-155
Gm20619,1.2581227,6.413261061540465e-37,Slc25a13,1.7652924,1.0053207348329283e-37,Mast4,1.9557191,4.806205036373278e-34,Gpx4,3.8461876,2.2399475932687874e-155
Kcnd3,1.2139243,9.48869871468101e-37,Tnfaip8,1.7646188,4.6322518552234575e-37,Actn1,2.6798346,8.441554001116865e-34,Mt1,3.6737955,4.875943426093717e-152
